B65,     257.414583333,     78.5522222222,     0.053817,           15.73,     None,  B65,  1237663230678860038,  257.416130813,  78.5520170183,  17.95255,  16.22254,  15.37191,  14.92419,  17.95255
B66,     256.704166667,     78.5927777778,     0.058077,           16.0V,     None,  B66,  1237663230678794264,  256.703930121,  78.592663432,  24.36416,  18.06705,  17.10814,  16.57804,  24.36416
B67,     256.752083333,     78.6897222222,     0.056559,           17.6V,     None,  B67,  1237663269868994760,  256.751961901,  78.6897789579,  20.61232,  18.4701,  17.51958,  17.13471,  20.61232
B68,     254.505,     78.5627777778,     0.064051,           15.40,     None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B69,     255.334166667,     78.7555555556,     0.056605,           18.0R,     None,  B69,  1237663269868864161,  255.334598512,  78.7552344574,  20.43874,  18.91024,  18.22282,  17.75945,  20.43874
B70,     255.044583333,     79.0044444444,     0.057967,           16.44,     None,  B70,  1237663231215599825,  255.045909732,  79.0042723246,  18.55432,  16.87271,  16.00419,  15.55768,  18.55432
B71,     254.954166667,     78.9722222222,     0.058836,            ... ,     None,  B71,  1237656565427864068,  254.955923945,  78.9722774786,  19.99234,  18.72859,  18.12274,  17.72529,  19.99234
B72,     257.29125,     78.8755555556,     0.062526,           15.9V,     None,  B72,  1237663269869060334,  257.291231067,  78.8755058411,  17.4849,  16.20008,  15.497,  15.09942,  17.4849
B73,     256.285833333,     78.685,     0.059464,            ... ,     None,  B73,  1237663269868929212,  256.286138702,  78.6849724033,  19.40607,  17.44981,  16.66214,  16.36099,  19.40607
B74,     256.149583333,     78.6680555556,     0.065715,           17.8V,     None,  B74,  1237663269868929418,  256.149332303,  78.6681535645,  19.48927,  17.89213,  17.01176,  16.57884,  19.48927
B75,     255.9075,     78.7829444444,     0.066187,          None ,     None,  B75,  1237663269868929423,  255.908862206,  78.78282245,  20.33916,  18.45026,  17.52826,  17.08714,  20.33916
B76,     254.196666667,     78.7830555556,     0.05653,           16.40,     None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B77,     254.714166667,     78.5166666667,     0.061723,           16.11,     None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B78,     257.63,     78.4861111111,     0.05286,           16.54,     None,  B78,  1237663269332189439,  257.630824915,  78.4860278695,  18.82439,  17.15493,  16.31477,  15.91225,  18.82439
B79,     257.198333333,     78.4322222222,     0.056239,           17.2V,     None,  B79,  1237663269332123864,  257.198236687,  78.4324122008,  19.01929,  17.41553,  16.7017,  16.32695,  19.01929
B80,     257.174166667,     78.3958333333,     0.056765,           17.9V,     None,  B80,  1237663269332123997,  257.173445361,  78.395885012,  19.88031,  18.28336,  17.48129,  17.08025,  19.88031
B81,     257.34125,     78.3683333333,     0.053797,            ... ,     None,  B81,  1237663269332123885,  257.341519056,  78.3682952906,  18.48406,  16.93654,  16.05923,  15.62499,  18.48406
B82,     255.530416667,     78.2916666667,     0.059121,           15.55,     None,  B82,  1237663269331927318,  255.530307681,  78.2916746203,  17.61428,  16.24395,  15.51515,  15.11197,  17.61428
